customer_id,customer_name,region,segment,acquisition_channel,signup_date,fleet_size,account_status,annual_contract_value
C10023,Customer 0024,Ahmedabad,Mid-Market,Event,2026-03-07,121,Active,8291.53
C10024,Customer 0025,Ahmedabad,Mid-Market,Partner,2025-03-27,747,Active,76656.79
C10025,Customer 0026,Chennai,SMB,Outbound,2025-04-09,481,Active,30804.29
C10026,Customer 0027,Ahmedabad,SMB,Paid Search,2025-10-30,192,Active,28482.02
C10027,Customer 0028,Hyderabad,SMB,Organic,2025-06-08,57,Active,10005.42
C10028,Customer 0029,Chennai,Enterprise,Paid Search,2025-01-05,613,At Risk,116371.2
C10029,Customer 0030,Hyderabad,SMB,Organic,2024-09-05,369,Churned,32535.23
C10030,Customer 0031,Ahmedabad,SMB,Paid Search,2025-02-16,266,Active,39081.34
C10031,Customer 0032,Pune,Enterprise,Referral,2024-02-24,334,Churned,105137.28
C10032,Customer 0033,Ahmedabad,SMB,Referral,2024-06-12,842,Active,72547.35
C10033,Customer 0034,Chennai,SMB,Partner,2025-09-18,366,Active,27152.34
C10034,Customer 0035,Hyderabad,SMB,Outbound,2026-01-07,71,At Risk,7778.07
C10035,Customer 0036,Hyderabad,SMB,Referral,2024-03-27,241,Active,34848.33
C10036,Customer 0037,Mumbai,SMB,Partner,2024-03-23,127,Active,17496.03
C10037,Customer 0038,Pune,SMB,Paid Search,2024-03-13,584,Active,75462.21
C10038,Customer 0039,Bengaluru,Mid-Market,Organic,2025-11-03,681,Active,125511.45
C10039,Customer 0040,Kochi,Mid-Market,Event,2024-09-21,715,At Risk,93926.3
C10040,Customer 0041,Bengaluru,SMB,Outbound,2024-10-04,539,Active,60369.49
C10041,Customer 0042,Delhi NCR,Mid-Market,Partner,2024-01-11,654,Active,61868.42
C10042,Customer 0043,Bengaluru,SMB,Outbound,2026-04-06,357,Active,67298.76
C10043,Customer 0044,Delhi NCR,Enterprise,Outbound,2025-01-03,535,Active,120701.3
C10044,Customer 0045,Delhi NCR,SMB,Referral,2025-11-08,95,Active,8008.12
C10045,Customer 0046,Hyderabad,Mid-Market,Organic,2025-08-24,459,Churned,41634.34
C10046,Customer 0047,Chennai,SMB,Event,2024-04-30,476,Active,81813.26
C10047,Customer 0048,Kochi,Mid-Market,Event,2025-11-12,31,At Risk,6783.36
C10048,Customer 0049,Ahmedabad,SMB,Event,2025-04-12,468,Active,64578.11
C10049,Customer 0050,Mumbai,Mid-Market,Event,2025-05-28,615,At Risk,71858.3
C10050,Customer 0051,Ahmedabad,SMB,Event,2024-06-19,315,Active,59091.52
C10051,Customer 0052,Ahmedabad,Enterprise,Outbound,2025-12-20,465,Active,145769.81
C10052,Customer 0053,Ahmedabad,SMB,Organic,2026-03-02,246,Active,37310.05
C10053,Customer 0054,Mumbai,Mid-Market,Paid Search,2024-12-11,233,Active,41748.25
C10054,Customer 0055,Kochi,Mid-Market,Partner,2024-03-19,114,At Risk,23520.08
C10055,Customer 0056,Chennai,Enterprise,Partner,2025-12-22,282,Active,86814.98
C10056,Customer 0057,Hyderabad,SMB,Outbound,2026-01-24,683,Churned,82340.71
C10057,Customer 0058,Mumbai,SMB,Outbound,2025-03-06,795,Active,100208.81
C10058,Customer 0059,Pune,SMB,Referral,2025-05-07,542,Active,54626.48
C10059,Customer 0060,Bengaluru,SMB,Outbound,2024-07-08,532,Active,82792.87
C10060,Customer 0061,Delhi NCR,Mid-Market,Organic,2024-02-27,523,Active,89910.74
C10061,Customer 0062,Kochi,Enterprise,Partner,2026-03-13,407,Active,50010.04
C10062,Customer 0063,Bengaluru,Enterprise,Event,2025-02-14,362,Active,47799.38
C10063,Customer 0064,Delhi NCR,Mid-Market,Paid Search,2024-08-21,529,Churned,101884.97
C10064,Customer 0065,Bengaluru,Mid-Market,Referral,2025-08-12,667,Active,171097.23
C10065,Customer 0066,Chennai,Enterprise,Paid Search,2024-01-23,354,Active,104607.55
C10066,Customer 0067,Bengaluru,Enterprise,Partner,2024-03-08,483,Active,91770.19
C10067,Customer 0068,Ahmedabad,SMB,Outbound,2024-07-25,402,Active,54267.4
C10068,Customer 0069,Hyderabad,Mid-Market,Outbound,2025-01-18,246,Active,53771.7
C10069,Customer 0070,Ahmedabad,Mid-Market,Outbound,2024-11-07,250,Active,34457.65
C10070,Customer 0071,Kochi,SMB,Paid Search,2024-06-08,71,Active,5986.91
C10071,Customer 0072,Kochi,SMB,Referral,2024-10-25,376,Active,55426.43
C10072,Customer 0073,Kochi,Enterprise,Event,2024-10-10,607,Active,76379.17
C10073,Customer 0074,Bengaluru,Enterprise,Referral,2025-03-21,584,Active,147418.57
C10074,Customer 0075,Ahmedabad,Enterprise,Paid Search,2025-04-23,837,Active,187599.61
C10075,Customer 0076,Chennai,Mid-Market,Partner,2026-01-20,38,Active,6343.13
C10076,Customer 0077,Ahmedabad,SMB,Referral,2025-11-16,647,Active,51670.15
C10077,Customer 0078,Ahmedabad,SMB,Paid Search,2024-09-05,676,Active,112904.96
C10078,Customer 0079,Chennai,Mid-Market,Referral,2026-02-06,373,At Risk,37868.66
C10079,Customer 0080,Mumbai,Mid-Market,Organic,2025-03-18,244,Active,51475.57
C10080,Customer 0081,Hyderabad,SMB,Partner,2024-06-08,306,Active,27285.98
C10081,Customer 0082,Hyderabad,Mid-Market,Outbound,2024-10-16,581,Active,128029.77
C10082,Customer 0083,Delhi NCR,SMB,Paid Search,2025-09-22,733,Active,119205.29
C10083,Customer 0084,Kochi,Mid-Market,Paid Search,2025-11-29,548,Active,64050.27
C10084,Customer 0085,Chennai,SMB,Referral,2024-11-14,439,At Risk,32343.02
C10085,Customer 0086,Delhi NCR,SMB,Paid Search,2024-05-13,556,At Risk,97518.47
C10086,Customer 0087,Bengaluru,SMB,Outbound,2024-06-12,64,Active,3830.48
C10087,Customer 0088,Chennai,SMB,Partner,2024-03-28,518,Active,34770.69
C10088,Customer 0089,Pune,Enterprise,Outbound,2025-08-16,40,Active,9595.15
C10089,Customer 0090,Ahmedabad,SMB,Partner,2025-03-03,815,Active,122928.38
C10090,Customer 0091,Pune,SMB,Paid Search,2025-01-18,756,Active,80917.11
C10091,Customer 0092,Chennai,Mid-Market,Referral,2025-07-25,434,Active,63672.66
C10092,Customer 0093,Ahmedabad,Mid-Market,Event,2025-12-05,321,Active,71264.55
C10093,Customer 0094,Delhi NCR,SMB,Partner,2025-11-07,623,Active,60055.08
C10094,Customer 0095,Ahmedabad,SMB,Referral,2024-04-26,543,Active,61703.55
C10095,Customer 0096,Mumbai,SMB,Organic,2025-05-16,601,Active,70607.71
C10096,Customer 0097,Bengaluru,Mid-Market,Organic,2026-01-20,440,Active,62399.35
C10097,Customer 0098,Delhi NCR,SMB,Outbound,2025-10-19,204,Active,16834.74
C10098,Customer 0099,Bengaluru,SMB,Outbound,2024-10-07,66,Active,9516.31
C10099,Customer 0100,Hyderabad,SMB,Paid Search,2024-11-29,244,Active,16505.58
C10100,Customer 0101,Ahmedabad,Mid-Market,Referral,2026-01-26,452,At Risk,73966.72
C10101,Customer 0102,Kochi,SMB,Paid Search,2024-01-28,363,Active,25692.7
C10102,Customer 0103,Bengaluru,Mid-Market,Partner,2025-03-22,432,Active,48125.77
C10103,Customer 0104,Kochi,SMB,Paid Search,2024-04-08,239,Active,17695.52
C10104,Customer 0105,Hyderabad,Mid-Market,Partner,2026-01-30,797,Active,117212.52
C10105,Customer 0106,Mumbai,SMB,Outbound,2024-02-02,314,Active,50013.83
C10106,Customer 0107,Pune,SMB,Paid Search,2024-01-20,720,At Risk,84741.83
C10107,Customer 0108,Mumbai,SMB,Partner,2024-10-06,335,Active,22324.39
C10108,Customer 0109,Pune,Mid-Market,Referral,2024-06-19,379,At Risk,45169.43
C10109,Customer 0110,Kochi,Enterprise,Outbound,2025-02-25,515,Active,128979.88
C10110,Customer 0111,Hyderabad,SMB,Partner,2024-09-11,227,Active,16208.25
C10111,Customer 0112,Hyderabad,SMB,Event,2024-10-29,190,Active,31832.82
C10112,Customer 0113,Ahmedabad,Enterprise,Paid Search,2025-04-25,325,Active,54905.26
C10113,Customer 0114,Chennai,Mid-Market,Referral,2025-04-21,684,Active,85541.04
C10114,Customer 0115,Chennai,SMB,Event,2026-03-05,127,Active,18785.16
C10115,Customer 0116,Delhi NCR,SMB,Paid Search,2025-02-12,374,Active,36655.19
C10116,Customer 0117,Delhi NCR,Mid-Market,Partner,2025-04-24,572,Active,44576.13
C10117,Customer 0118,Pune,Mid-Market,Outbound,2025-07-30,601,Active,125106.99
C10118,Customer 0119,Chennai,Mid-Market,Organic,2024-05-28,372,Active,42475.36
C10119,Customer 0120,Bengaluru,Enterprise,Paid Search,2025-07-20,73,Active,14026.83
C10120,Customer 0121,Pune,SMB,Event,2026-01-02,18,Active,1737.94
C10121,Customer 0122,Pune,SMB,Paid Search,2024-09-27,402,Active,47223.58
C10122,Customer 0123,Hyderabad,SMB,Outbound,2024-05-31,689,Active,112696.23
C10123,Customer 0124,Delhi NCR,SMB,Referral,2024-10-21,28,Active,1737.97
C10124,Customer 0125,Kochi,SMB,Partner,2024-08-21,754,Active,107631.39
C10125,Customer 0126,Chennai,SMB,Partner,2025-05-12,576,Active,63257.3
C10126,Customer 0127,Bengaluru,SMB,Referral,2026-01-04,11,Active,1617.25
C10127,Customer 0128,Hyderabad,Mid-Market,Organic,2025-05-21,295,Active,59965.36
C10128,Customer 0129,Chennai,SMB,Paid Search,2024-04-16,191,Active,32222.23
C10129,Customer 0130,Delhi NCR,SMB,Paid Search,2024-09-24,807,Active,89740.73
C10130,Customer 0131,Ahmedabad,Mid-Market,Event,2025-08-08,473,Active,61378.51
C10131,Customer 0132,Chennai,Mid-Market,Organic,2024-10-07,278,At Risk,40452.52
C10132,Customer 0133,Ahmedabad,Mid-Market,Event,2025-05-13,239,At Risk,37360.43
C10133,Customer 0134,Bengaluru,Mid-Market,Paid Search,2025-08-12,481,Active,82095.55
C10134,Customer 0135,Delhi NCR,Mid-Market,Referral,2024-10-06,9,Active,1850.05
C10135,Customer 0136,Bengaluru,SMB,Referral,2025-07-04,222,Active,14100.75
C10136,Customer 0137,Chennai,SMB,Partner,2024-12-04,144,At Risk,22922.92
C10137,Customer 0138,Bengaluru,Mid-Market,Event,2024-04-24,528,Active,53131.39
C10138,Customer 0139,Delhi NCR,SMB,Partner,2024-11-12,570,Active,112581.97
C10139,Customer 0140,Mumbai,SMB,Organic,2025-01-09,399,Active,30594.11
C10140,Customer 0141,Bengaluru,SMB,Outbound,2024-01-03,123,Active,8733.03
C10141,Customer 0142,Hyderabad,SMB,Referral,2026-01-28,318,Active,57940.68
C10142,Customer 0143,Chennai,SMB,Event,2025-03-24,717,At Risk,128062.3
C10143,Customer 0144,Ahmedabad,SMB,Paid Search,2024-01-31,177,At Risk,29343.21
C10144,Customer 0145,Bengaluru,Mid-Market,Organic,2026-01-07,143,Active,30087.17
C10145,Customer 0146,Delhi NCR,Enterprise,Organic,2025-12-27,99,Active,13631.22
C10146,Customer 0147,Bengaluru,SMB,Paid Search,2024-01-11,695,Active,118407.41
C10147,Customer 0148,Kochi,Enterprise,Partner,2024-05-18,106,Active,18653.23
C10148,Customer 0149,Delhi NCR,SMB,Event,2024-11-05,496,Active,65051.82
C10149,Customer 0150,Ahmedabad,Enterprise,Organic,2025-03-07,849,Active,186808.05
C10150,Customer 0151,Bengaluru,Enterprise,Event,2025-09-08,547,At Risk,50380.29
C10151,Customer 0152,Hyderabad,SMB,Partner,2024-12-26,353,Churned,40907.25
C10152,Customer 0153,Chennai,Mid-Market,Organic,2025-06-03,179,Active,35738.55
C10153,Customer 0154,Pune,Enterprise,Partner,2024-01-09,6,Active,754.5
C10154,Customer 0155,Ahmedabad,Enterprise,Organic,2025-07-13,136,Active,44781.4
C10155,Customer 0156,Kochi,Enterprise,Paid Search,2026-02-17,810,Active,194309.55
C10156,Customer 0157,Ahmedabad,Mid-Market,Partner,2025-03-23,126,Active,12998.43
C10157,Customer 0158,Pune,SMB,Referral,2025-01-21,21,Active,3105.8
C10158,Customer 0159,Mumbai,Mid-Market,Referral,2024-09-09,694,Active,74315.03
C10159,Customer 0160,Delhi NCR,Mid-Market,Organic,2026-03-22,358,At Risk,33009.91
C10160,Customer 0161,Bengaluru,Mid-Market,Organic,2024-01-29,306,Active,51715.8
C10161,Customer 0162,Delhi NCR,SMB,Organic,2024-08-31,611,Active,46077.55
C10162,Customer 0163,Mumbai,Mid-Market,Partner,2024-04-27,446,Active,44647.16
C10163,Customer 0164,Hyderabad,SMB,Organic,2026-01-06,777,Churned,103903.04
C10164,Customer 0165,Bengaluru,Mid-Market,Partner,2025-02-14,400,Active,34174.51
C10165,Customer 0166,Chennai,SMB,Referral,2026-02-23,607,Active,108303.38
C10166,Customer 0167,Mumbai,Mid-Market,Partner,2025-07-19,747,Active,140212.1
C10167,Customer 0168,Ahmedabad,Mid-Market,Partner,2025-04-18,396,Active,42518.89
C10168,Customer 0169,Delhi NCR,SMB,Paid Search,2025-03-15,245,Churned,34680.05
C10169,Customer 0170,Ahmedabad,SMB,Referral,2024-06-21,828,Active,63677.28
C10170,Customer 0171,Pune,SMB,Partner,2025-04-22,196,At Risk,25242.85
C10171,Customer 0172,Hyderabad,Enterprise,Partner,2025-08-05,38,Active,4484.45
C10172,Customer 0173,Bengaluru,Mid-Market,Paid Search,2026-03-31,493,Active,137837.02
C10173,Customer 0174,Pune,SMB,Organic,2025-04-11,838,Active,69707.18
C10174,Customer 0175,Chennai,SMB,Paid Search,2026-03-09,78,Active,9262.32
C10175,Customer 0176,Mumbai,SMB,Event,2026-03-13,722,Active,41962.67
C10176,Customer 0177,,SMB,Paid Search,2025-03-20,706,Active,63984.02
C10177,Customer 0178,Ahmedabad,Enterprise,Organic,2025-01-08,789,Active,153334.08
C10178,Customer 0179,Delhi NCR,Mid-Market,Outbound,2024-05-01,361,At Risk,55466.22
C10179,Customer 0180,Hyderabad,SMB,Organic,2024-08-16,220,Churned,37157.77
C10180,Customer 0181,Mumbai,Enterprise,Partner,2026-01-17,437,Active,50528.52
C10181,Customer 0182,Ahmedabad,SMB,Organic,2024-04-27,125,Active,6784.27
C10182,Customer 0183,Kochi,Enterprise,Event,2024-12-03,717,At Risk,146300.33
C10183,Customer 0184,Kochi,SMB,Event,2025-08-16,565,Active,62284.97
C10184,Customer 0185,Ahmedabad,Mid-Market,Referral,2024-07-23,413,At Risk,109756.8
C10185,Customer 0186,Hyderabad,Enterprise,Referral,2026-04-07,440,Active,154714.82
C10186,Customer 0187,Mumbai,SMB,Referral,2025-07-06,606,Active,90208.73
C10187,Customer 0188,Hyderabad,Mid-Market,Referral,2024-01-25,447,Active,46788.7
C10188,Customer 0189,Hyderabad,Enterprise,Referral,2024-07-29,714,Active,110637.37
C10189,Customer 0190,Kochi,SMB,Event,2025-09-21,786,Active,139401.39
C10190,Customer 0191,Ahmedabad,SMB,Outbound,2026-01-03,807,Active,68661.91
C10191,Customer 0192,Bengaluru,Mid-Market,Organic,2026-02-26,528,At Risk,104778.15
C10192,Customer 0193,Pune,SMB,Paid Search,2025-12-24,632,Churned,60965.38
C10193,Customer 0194,Chennai,SMB,Event,2024-03-04,267,Active,22018.69
C10194,Customer 0195,Hyderabad,SMB,Paid Search,2025-09-12,37,Active,6851.41
C10195,Customer 0196,Ahmedabad,Mid-Market,Partner,2024-04-03,343,Active,32169.79
C10196,Customer 0197,Kochi,SMB,Event,2024-03-06,741,Active,127056.58
C10197,Customer 0198,Chennai,SMB,Referral,2025-08-11,117,Active,10791.97
C10198,Customer 0199,Pune,Mid-Market,Referral,2025-02-10,466,At Risk,34614.9
C10199,Customer 0200,Delhi NCR,Mid-Market,Paid Search,2025-07-04,167,Active,20259.85
C10200,Customer 0201,Kochi,Mid-Market,Organic,2025-12-24,367,Active,44133.84
C10201,Customer 0202,Delhi NCR,SMB,Paid Search,2024-02-28,126,Active,13880.51
C10202,Customer 0203,Ahmedabad,Enterprise,Paid Search,2025-03-24,625,Active,80189.91
C10203,Customer 0204,Hyderabad,Mid-Market,Event,2025-12-10,689,Active,142662.49
C10204,Customer 0205,Bengaluru,SMB,Partner,2025-01-09,645,Active,117590.24
C10205,Customer 0206,Ahmedabad,Enterprise,Organic,2025-03-20,600,Active,88437.26
C10206,Customer 0207,Mumbai,SMB,Paid Search,2025-02-27,203,Active,18175.27
C10207,Customer 0208,Mumbai,SMB,Event,2026-02-10,453,Active,38940.66
C10208,Customer 0209,Kochi,SMB,Paid Search,2024-02-12,93,Active,14757.85
C10209,Customer 0210,Bengaluru,Mid-Market,Paid Search,2026-01-16,321,Active,57558.53
C10210,Customer 0211,Chennai,SMB,Outbound,2025-11-24,432,Active,32569.26
C10211,Customer 0212,Mumbai,SMB,Referral,2025-11-21,569,Active,59728.81
C10212,Customer 0213,Bengaluru,SMB,Partner,2024-12-16,86,At Risk,8509.93
C10213,Customer 0214,Ahmedabad,SMB,Event,2025-03-14,691,Active,72941.09
C10214,Customer 0215,Bengaluru,SMB,Referral,2024-11-09,392,Active,23178.43
C10215,Customer 0216,Hyderabad,Mid-Market,Organic,2024-08-01,749,Active,177424.36
C10216,Customer 0217,Pune,SMB,Paid Search,2026-01-14,450,Active,37863.31
C10217,Customer 0218,Kochi,SMB,Event,2025-03-06,467,Active,39170.9
C10218,Customer 0219,Bengaluru,Mid-Market,Paid Search,2025-09-06,590,Active,51553.13
C10219,Customer 0220,Pune,SMB,Referral,2024-03-26,697,Active,81111.44
C10220,Customer 0221,Chennai,Mid-Market,Referral,2025-11-01,138,Active,24438.77
C10221,Customer 0222,Kochi,SMB,Outbound,2025-07-14,437,Active,36893.69
C10222,Customer 0223,Bengaluru,SMB,Event,2026-04-27,30,Active,2666.25
C10223,Customer 0224,Ahmedabad,SMB,Organic,2024-04-23,405,At Risk,50049.01
C10224,Customer 0225,Chennai,SMB,Referral,2025-04-04,692,Active,58492.57
C10225,Customer 0226,Kochi,SMB,Referral,2025-03-10,736,Active,149593.67
C10226,Customer 0227,Mumbai,Mid-Market,Organic,2025-04-02,244,Active,28305.43
C10227,Customer 0228,Ahmedabad,SMB,Outbound,2024-02-16,331,Active,21402.52
C10228,Customer 0229,Pune,Mid-Market,Organic,2025-02-06,471,Active,111414.9
C10229,Customer 0230,Bengaluru,Mid-Market,Paid Search,2024-09-11,339,Active,59624.35
C10230,Customer 0231,Ahmedabad,SMB,Partner,2025-06-08,155,Active,13802.04
C10231,Customer 0232,Kochi,SMB,Organic,2024-07-16,262,Active,50232.41
C10232,Customer 0233,Mumbai,SMB,Outbound,2025-01-04,346,Active,44863.15
C10233,Customer 0234,Chennai,SMB,Partner,2025-06-11,443,Active,35736.08
C10234,Customer 0235,Delhi NCR,SMB,Partner,2024-02-24,783,Active,122671.35
C10235,Customer 0236,Chennai,Mid-Market,Event,2025-10-30,465,Active,81260.68
C10236,Customer 0237,Ahmedabad,Enterprise,Event,2025-08-31,332,Active,46806.05
C10237,Customer 0238,Ahmedabad,SMB,Organic,2024-02-18,563,At Risk,76225.3
C10238,Customer 0239,Bengaluru,Mid-Market,Partner,2024-02-25,658,Active,90075.99
C10239,Customer 0240,,Mid-Market,Outbound,2025-12-23,368,Active,30050.11
C10240,Customer 0241,Delhi NCR,SMB,Outbound,2024-08-28,418,Active,84738.64
C10241,Customer 0242,Pune,Mid-Market,Event,2026-01-01,189,Active,28364.79
C10242,Customer 0243,Kochi,Mid-Market,Referral,2025-02-28,735,Churned,150590.32
C10243,Customer 0244,Delhi NCR,Enterprise,Organic,2024-10-17,737,Active,173681.0
C10244,Customer 0245,Delhi NCR,Enterprise,Event,2024-08-20,152,Active,30611.67
C10245,Customer 0246,Delhi NCR,SMB,Organic,2025-07-14,297,Active,30851.76
C10246,Customer 0247,Kochi,SMB,Organic,2024-04-03,234,Churned,33617.67
C10247,Customer 0248,Delhi NCR,Mid-Market,Outbound,2024-12-08,784,Active,143802.18
C10248,Customer 0249,Mumbai,SMB,Referral,2024-10-20,60,Active,9070.52
C10249,Customer 0250,Mumbai,SMB,Organic,2024-05-11,180,Active,18360.97
C10250,Customer 0251,Bengaluru,Enterprise,Partner,2024-10-26,271,Active,50834.25
C10251,Customer 0252,Delhi NCR,SMB,Referral,2025-03-25,478,Active,27004.26
C10252,Customer 0253,Hyderabad,SMB,Partner,2025-07-29,215,Active,24124.66
C10253,Customer 0254,Hyderabad,Mid-Market,Outbound,2024-03-14,458,Active,39589.32
C10254,Customer 0255,Pune,SMB,Paid Search,2026-01-11,636,Active,75697.7
C10255,Customer 0256,Hyderabad,SMB,Referral,2026-01-16,705,Active,110703.61
C10256,Customer 0257,Chennai,Enterprise,Paid Search,2025-08-11,88,Active,16789.32
C10257,Customer 0258,Kochi,SMB,Paid Search,2026-02-24,122,Active,10110.83
C10258,Customer 0259,Pune,SMB,Paid Search,2024-12-29,85,Active,13569.33
C10259,Customer 0260,Delhi NCR,SMB,Outbound,2025-11-29,773,Active,50782.9
C10260,Customer 0261,Bengaluru,Enterprise,Referral,2025-09-10,556,Churned,168062.18
C10261,Customer 0262,Ahmedabad,SMB,Referral,2025-04-23,454,Active,42931.1
C10262,Customer 0263,Kochi,SMB,Referral,2024-06-01,673,Active,38573.96
C10263,Customer 0264,Chennai,SMB,Partner,2025-04-18,500,At Risk,45245.5
C10264,Customer 0265,Hyderabad,SMB,Event,2026-02-05,203,Active,33972.05
C10265,Customer 0266,Hyderabad,Enterprise,Referral,2026-04-16,436,Active,72538.22
C10266,Customer 0267,Mumbai,SMB,Outbound,2025-01-15,599,Active,85017.18
C10267,Customer 0268,Bengaluru,Enterprise,Event,2024-07-29,35,Active,4698.02
C10268,Customer 0269,,SMB,Event,2025-09-27,517,Active,42889.71
C10269,Customer 0270,Bengaluru,SMB,Outbound,2024-03-05,425,Active,81251.58
C10270,Customer 0271,Mumbai,Enterprise,Outbound,2024-05-08,63,Active,8999.91
C10271,Customer 0272,Ahmedabad,SMB,Paid Search,2025-04-22,227,At Risk,13186.17
C10272,Customer 0273,Kochi,SMB,Outbound,2026-04-21,384,Active,47802.95
C10273,Customer 0274,Bengaluru,Enterprise,Partner,2024-10-06,294,Active,89842.81
C10274,Customer 0275,Delhi NCR,SMB,Outbound,2025-01-11,250,At Risk,23296.86
C10275,Customer 0276,Chennai,Mid-Market,Organic,2024-09-30,553,Active,55666.2
C10276,Customer 0277,Pune,Enterprise,Event,2025-01-09,346,At Risk,108221.47
C10277,Customer 0278,Ahmedabad,SMB,Partner,2024-01-07,425,Active,65440.11
C10278,Customer 0279,Kochi,SMB,Referral,2025-05-20,679,Active,130094.62
C10279,Customer 0280,Ahmedabad,SMB,Organic,2025-05-21,83,Active,14643.56
C10280,Customer 0281,Hyderabad,SMB,Organic,2024-09-25,309,Active,49605.02
C10281,Customer 0282,Bengaluru,SMB,Event,2024-08-12,66,At Risk,7079.55
C10282,Customer 0283,Chennai,Mid-Market,Event,2025-10-09,788,At Risk,111774.76
C10283,Customer 0284,Hyderabad,SMB,Partner,2024-06-08,161,Churned,20285.29
C10284,Customer 0285,Mumbai,Mid-Market,Organic,2024-02-10,697,Active,134909.31
C10285,Customer 0286,Bengaluru,SMB,Outbound,2024-02-04,166,Active,26053.55
C10286,Customer 0287,Ahmedabad,SMB,Event,2026-01-19,278,Active,28089.74
C10287,Customer 0288,Hyderabad,SMB,Partner,2024-11-05,519,At Risk,56556.16
C10288,Customer 0289,Bengaluru,Mid-Market,Referral,2024-03-27,707,Active,127038.71
C10289,Customer 0290,Bengaluru,SMB,Partner,2026-01-17,155,At Risk,20527.57
C10290,Customer 0291,Bengaluru,SMB,Outbound,2024-05-06,185,Active,18072.1
C10291,Customer 0292,Chennai,Enterprise,Paid Search,2024-10-13,750,Active,223790.24
C10292,Customer 0293,Mumbai,Mid-Market,Organic,2024-01-18,277,Active,46645.2
C10293,Customer 0294,Ahmedabad,SMB,Partner,2025-07-31,182,Active,11465.32
C10294,Customer 0295,Mumbai,Enterprise,Referral,2025-08-17,633,Active,172564.01
C10295,Customer 0296,Chennai,SMB,Outbound,2025-10-05,82,Churned,10340.13
C10296,Customer 0297,Pune,SMB,Organic,2024-08-11,737,Active,112088.58
C10297,Customer 0298,Pune,SMB,Event,2024-10-05,745,Active,72105.33
C10298,Customer 0299,Kochi,SMB,Referral,2026-03-08,728,Active,77300.21
C10299,Customer 0300,Bengaluru,SMB,Event,2025-11-29,254,Active,27819.94
C10300,Customer 0301,Chennai,Mid-Market,Event,2024-02-01,101,Active,13363.96
C10301,Customer 0302,Kochi,SMB,Organic,2025-08-11,364,Churned,19522.07
C10302,Customer 0303,Kochi,Mid-Market,Organic,2025-11-21,287,Churned,58851.75
C10303,Customer 0304,Chennai,Enterprise,Outbound,2025-04-20,815,Active,213940.34
C10304,Customer 0305,Pune,Mid-Market,Partner,2025-06-27,538,Active,98033.65
C10305,Customer 0306,Kochi,Mid-Market,Organic,2024-01-01,802,Active,113594.29
C10306,Customer 0307,Chennai,Mid-Market,Paid Search,2024-01-26,639,At Risk,61506.63
C10307,Customer 0308,Ahmedabad,Enterprise,Event,2024-01-30,609,Active,126359.35
C10308,Customer 0309,Bengaluru,SMB,Outbound,2024-05-15,99,Active,9071.79
C10309,Customer 0310,Mumbai,SMB,Referral,2026-04-22,63,Churned,7275.56
C10310,Customer 0311,Hyderabad,SMB,Partner,2025-06-23,44,At Risk,2909.82
C10311,Customer 0312,Hyderabad,Mid-Market,Paid Search,2025-10-26,506,Active,88704.37
C10312,Customer 0313,Delhi NCR,SMB,Outbound,2024-09-08,175,Active,15961.22
C10313,Customer 0314,Bengaluru,Mid-Market,Organic,2026-03-07,840,Active,130708.38
