ticket_id,customer_id,opened_date,category,priority,channel,assigned_department,status,resolution_hours,csat
ST70042,C10674,2025-04-26,Billing,Medium,Portal,Support,Pending Customer,13.2,4.2
ST70043,C10599,2026-01-21,Hardware,Medium,Chat,Support,Resolved,15.71,4.1
ST70044,C10344,2025-02-08,Connectivity,Medium,Chat,Support,Pending Customer,50.97,3.9
ST70045,C10817,2025-06-12,Software,Medium,Portal,Support,Resolved,6.38,3.4
ST70046,C10608,2026-04-30,Software,Medium,Portal,Support,Resolved,45.91,4.5
ST70047,C10435,2026-01-08,Hardware,Low,Portal,Support,Resolved,29.58,3.9
ST70048,C10380,2025-08-16,Hardware,High,Phone,Customer Success,Resolved,17.06,3.1
ST70049,C10354,2026-07-12,Training,Medium,Email,Support,Resolved,16.93,3.3
ST70050,C10575,2026-03-16,Software,Medium,Chat,Customer Success,Resolved,25.44,3.1
ST70051,C10655,2025-01-14,Hardware,High,Chat,Support,Escalated,12.46,3.7
ST70052,C10804,2025-02-16,Performance,High,Portal,Support,Pending Customer,14.44,4.5
ST70053,C10406,2025-12-30,Installation,Medium,Email,Support,Resolved,19.41,3.6
ST70054,C10253,2026-05-24,Training,Medium,Phone,Support,Resolved,42.54,4.8
ST70055,C10556,2025-04-01,Billing,High,Phone,Customer Success,Resolved,15.54,4.0
ST70056,C10583,2025-11-09,Connectivity,High,Phone,Engineering,Resolved,3.17,3.9
ST70057,C10277,2026-04-19,Installation,Low,Email,Customer Success,Pending Customer,20.0,4.1
ST70058,C10073,2026-05-16,Hardware,Medium,Phone,Customer Success,Escalated,16.26,5.0
ST70059,C10332,2026-01-07,Training,High,Email,Engineering,Resolved,10.23,3.1
ST70060,C10070,2026-08-03,Connectivity,High,Portal,Customer Success,Resolved,22.29,5.0
ST70061,C10082,2026-06-28,Software,Low,Phone,Support,Resolved,10.53,4.8
ST70062,C10965,2026-04-29,Connectivity,Medium,Chat,Customer Success,Resolved,27.45,3.4
ST70063,C10781,2026-01-24,Training,Medium,Phone,Support,Resolved,19.47,5.0
ST70064,C10035,2026-07-26,Performance,Low,Email,Support,Resolved,20.89,3.9
ST70065,C10348,2025-01-10,Training,Medium,Phone,Customer Success,Resolved,23.58,4.3
ST70066,C10254,2025-02-21,Connectivity,Medium,Email,Customer Success,Resolved,25.94,3.7
ST70067,C10974,2025-10-24,Training,Low,Email,Support,Pending Customer,19.17,4.8
ST70068,C10437,2026-01-25,Installation,Medium,Email,Engineering,Open,4.04,3.6
ST70069,C10259,2026-06-09,Performance,High,Chat,Support,Resolved,21.43,4.1
ST70070,C10634,2026-01-29,Training,High,Portal,Customer Success,Resolved,33.03,4.6
ST70071,C10475,2025-05-15,Software,High,Phone,Engineering,Pending Customer,3.08,4.9
ST70072,C10187,2026-06-11,Software,High,Chat,Support,Resolved,4.08,3.5
ST70073,C10305,2025-02-18,Billing,High,Chat,Engineering,Pending Customer,9.15,4.7
ST70074,C10127,2025-02-25,Hardware,Medium,Chat,Customer Success,Resolved,31.66,3.4
ST70075,C10693,2026-02-22,Installation,Low,Email,Customer Success,Pending Customer,15.642,1.8
ST70076,C10970,2026-07-13,Connectivity,High,Portal,Engineering,Resolved,31.96,3.5
ST70077,C10808,2025-10-19,Software,Medium,Portal,Customer Success,Pending Customer,20.51,4.7
ST70078,C10375,2025-03-20,Connectivity,Medium,Chat,Support,Resolved,10.92,4.1
ST70079,C10487,2025-01-28,Training,Critical,Portal,Customer Success,Pending Customer,87.64,3.7
ST70080,C10060,2026-07-23,Training,Medium,Email,Support,Resolved,5.66,4.1
ST70081,C10366,2025-06-12,Hardware,High,Chat,Support,Resolved,17.63,4.1
ST70082,C10032,2026-01-06,Connectivity,Medium,Portal,Support,Open,7.8,4.6
ST70083,C10744,2025-07-09,Connectivity,Low,Phone,Support,Resolved,22.15,2.9
ST70084,C10909,2025-05-05,Hardware,High,Portal,Customer Success,Resolved,8.12,4.0
ST70085,C10191,2026-01-23,Training,High,Portal,Engineering,Resolved,12.21,4.2
ST70086,C10673,2026-03-05,Installation,Medium,Email,Engineering,Open,9.52,3.1
ST70087,C10599,2025-10-01,Hardware,Medium,Email,Support,Pending Customer,14.12,3.1
ST70088,C10417,2025-10-22,Hardware,Low,Email,Support,Resolved,32.82,3.8
ST70089,C10733,2025-10-10,Connectivity,Low,Email,Support,Open,4.89,4.1
ST70090,C10679,2025-12-09,Billing,Low,Portal,Support,Pending Customer,8.82,4.1
ST70091,C10269,2026-04-13,Training,Low,Email,Support,Resolved,12.63,3.7
ST70092,C10798,2026-02-17,Hardware,Medium,Email,Support,Resolved,14.58,3.7
ST70093,C10655,2025-06-11,Software,Medium,Chat,Engineering,Resolved,40.68,3.8
ST70094,C10312,2025-05-24,Installation,Low,Chat,Support,Resolved,9.18,4.3
ST70095,C10735,2026-01-26,Billing,Medium,Portal,Customer Success,Resolved,31.85,5.0
ST70096,C10640,2026-01-10,Billing,Low,Chat,Engineering,Resolved,44.13,2.4
ST70097,C10117,2025-08-02,Connectivity,Low,Email,Customer Success,Pending Customer,15.3,4.6
ST70098,C10166,2026-05-02,Connectivity ,High,Email,Support,Resolved,7.33,4.0
ST70099,C10323,2025-08-31,Software,Critical,Portal,Support,Resolved,37.3,
ST70100,C10044,2025-07-14,Performance,High,Portal,Engineering,Resolved,30.03,5.0
ST70101,C10406,2025-11-19,Connectivity,Low,Email,Support,Resolved,6.71,3.5
ST70102,C10461,2025-04-22,Training,Medium,Chat,Support,Pending Customer,87.624,4.1
ST70103,C10775,2026-02-08,Billing,Low,Chat,Engineering,Resolved,9.92,3.2
ST70104,C10171,2026-06-05,Training,Medium,Portal,Customer Success,Escalated,15.12,4.2
ST70105,C10567,2026-07-03,Software,High,Portal,Customer Success,Resolved,26.72,3.9
ST70106,C10664,2025-09-17,Installation,Medium,Phone,Support,Resolved,44.88,4.1
ST70107,C10449,2025-06-06,Software,High,Chat,Support,Resolved,21.25,3.4
ST70108,C10907,2025-10-05,Hardware,Medium,Portal,Customer Success,Open,13.94,4.4
ST70109,C10318,2025-03-02,Installation,Low,Phone,Support,Resolved,12.42,5.0
ST70110,C10407,2026-01-23,Training,Low,Email,Support,Resolved,13.93,3.4
ST70111,C10004,2025-09-06,Hardware,High,Phone,Support,Resolved,66.66,4.2
ST70112,C10410,2025-03-12,Software,Medium,Chat,Customer Success,Resolved,42.066,4.0
ST70113,C10020,2025-11-14,Software,Low,Portal,Support,Resolved,19.22,3.9
ST70114,C10983,2026-02-21,Installation,Low,Phone,Engineering,Resolved,30.24,5.0
ST70115,C10240,2025-05-13,Connectivity,Critical,Phone,Support,Open,14.69,3.8
ST70116,C10812,2025-08-23,Software,Low,Phone,Support,Resolved,43.35,4.0
ST70117,C10116,2026-06-01,Connectivity,Critical,Phone,Engineering,Pending Customer,24.76,3.4
ST70118,C10274,2026-02-16,Performance,Medium,Chat,Engineering,Open,13.67,4.2
ST70119,C10119,2026-04-09,Connectivity,Low,Email,Customer Success,Resolved,11.58,4.1
ST70120,C10368,2025-09-18,Hardware,Medium,Chat,Engineering,Resolved,3.54,4.6
ST70121,C10602,2025-10-14,Hardware,High,Chat,Support,Resolved,32.76,3.6
ST70122,C10419,2025-10-16,Installation,Medium,Chat,Support,Resolved,4.83,3.6
ST70123,C10605,2025-09-19,Training,Low,Portal,Support,Escalated,41.72,4.4
ST70124,C10806,2025-03-25,Installation,Low,Phone,Support,Pending Customer,8.63,5.0
ST70125,C10044,2025-01-24,Hardware,High,Portal,Customer Success,Resolved,9.56,4.6
ST70126,C10424,2026-04-28,Performance,Medium,Chat,Customer Success,Resolved,101.214,4.3
ST70127,C10593,2025-11-08,Performance,Medium,Portal,Support,Resolved,31.11,4.5
ST70128,C10523,2025-11-05,Billing,Low,Portal,Support,Resolved,18.87,4.5
ST70129,C10145,2025-12-12,Connectivity ,Medium,Phone,Engineering,Resolved,52.81,4.6
ST70130,C10206,2025-08-28,Hardware,High,Email,Support,Resolved,16.37,5.0
ST70131,C10377,2026-06-02,Software,Low,Portal,Support,Resolved,12.05,5.0
ST70132,C10651,2025-09-30,Billing,Critical,Email,Support,Resolved,20.16,3.3
ST70133,C10989,2025-10-18,Hardware,High,Portal,Support,Resolved,34.29,4.7
ST70134,C10368,2025-11-05,Training,Low,Portal,Support,Resolved,5.95,4.3
ST70135,C10522,2025-04-02,Training,High,Email,Support,Resolved,9.38,4.0
ST70136,C10306,2025-04-11,Training,Medium,Chat,Support,Resolved,7.49,2.8
ST70137,C10034,2025-04-15,Performance,Medium,Portal,Support,Resolved,6.44,2.9
ST70138,C10398,2025-05-28,Performance,Low,Portal,Support,Resolved,15.11,3.8
ST70139,C10347,2025-04-03,Hardware,High,Email,Support,Escalated,6.32,3.0
ST70140,C10150,2025-05-10,Performance,Medium,Chat,Support,Resolved,3.07,3.8
ST70141,C10670,2026-06-29,Hardware,High,Chat,Support,Resolved,9.32,4.6
ST70142,C10258,2025-07-29,Software,Low,Portal,Engineering,Resolved,8.81,3.7
ST70143,C10224,2026-04-06,Performance,Low,Portal,Customer Success,Resolved,23.78,4.2
ST70144,C10389,2025-08-17,Installation,Critical,Portal,Support,Resolved,32.29,3.3
ST70145,C10964,2026-04-24,Performance,Medium,Chat,Support,Open,10.54,4.3
ST70146,C10636,2026-03-13,Training,Low,Email,Support,Escalated,9.47,4.5
ST70147,C10425,2026-05-03,Performance,High,Phone,Support,Resolved,54.21,3.0
ST70148,C10820,2025-06-17,Training,Low,Chat,Customer Success,Resolved,31.51,3.5
ST70149,C10021,2025-02-25,Billing,High,Chat,Engineering,Pending Customer,21.96,3.1
ST70150,C10336,2025-06-28,Connectivity,High,Chat,Support,Resolved,13.35,4.5
ST70151,C10540,2026-02-12,Installation,Low,Chat,Support,Resolved,31.04,4.2
ST70152,C10488,2026-01-15,Software,Medium,Email,Support,Pending Customer,6.94,4.1
ST70153,C10676,2026-02-13,Hardware,Critical,Email,Support,Resolved,31.99,4.0
ST70154,C10701,2026-07-31,Hardware,High,Email,Support,Resolved,24.59,4.3
ST70155,C10455,2025-05-11,Training,Medium,Phone,Customer Success,Resolved,27.88,4.4
ST70156,C10929,2025-09-15,Training,Medium,Portal,Support,Resolved,19.03,3.7
ST70157,C10928,2025-10-12,Installation,Medium,Email,Customer Success,Escalated,5.23,3.6
ST70158,C10475,2025-03-28,Performance,Low,Phone,Customer Success,Resolved,7.12,4.1
ST70159,C10901,2026-01-20,Connectivity,Medium,Email,Support,Resolved,25.52,4.0
ST70160,C10640,2025-01-29,Training,Medium,Portal,Engineering,Resolved,23.72,5.0
ST70161,C10138,2026-06-05,Software,Medium,Portal,Customer Success,Resolved,11.46,3.8
ST70162,C10119,2025-02-21,Hardware,Medium,Chat,Support,Resolved,11.27,4.3
ST70163,C10079,2025-03-06,Billing,High,Phone,Engineering,Resolved,37.87,4.4
ST70164,C10211,2025-04-11,Billing,Low,Phone,Customer Success,Resolved,17.28,5.0
ST70165,C10312,2026-06-02,Training,Low,Chat,Support,Resolved,8.91,3.5
ST70166,C10069,2026-05-15,Connectivity,Low,Email,Support,Pending Customer,41.93,5.0
ST70167,C10608,2026-06-20,Billing,Low,Portal,Support,Resolved,39.4,4.0
ST70168,C10411,2026-04-29,Installation,Critical,Chat,Customer Success,Escalated,17.25,5.0
ST70169,C10601,2026-06-20,Training,Medium,Phone,Engineering,Resolved,19.92,4.4
ST70170,C10503,2025-10-01,Connectivity,Low,Email,Support,Resolved,31.58,3.2
ST70171,C10271,2025-01-03,Connectivity,Critical,Email,Support,Escalated,26.78,4.0
ST70172,C10614,2025-09-12,Connectivity,Low,Email,Support,Pending Customer,5.06,5.0
ST70173,C10951,2025-05-09,Software,Medium,Email,Customer Success,Resolved,42.83,4.2
ST70174,C10316,2025-05-22,Hardware,High,Phone,Support,Resolved,4.15,4.1
ST70175,C10307,2026-02-05,Hardware,High,Email,Support,Pending Customer,23.57,4.6
ST70176,C10516,2025-04-07,Billing,Low,Chat,Support,Resolved,6.14,3.8
ST70177,C10804,2025-07-06,Connectivity,Medium,Phone,Customer Success,Resolved,26.74,3.9
ST70178,C10531,2025-08-16,Performance,Medium,Chat,Support,Resolved,9.75,3.4
ST70179,C10831,2025-02-05,Hardware,Medium,Portal,Support,Pending Customer,10.31,5.0
ST70180,C10074,2026-02-11,Performance,Low,Chat,Support,Resolved,30.38,3.2
ST70181,C10098,2026-03-19,Training,High,Portal,Support,Resolved,6.14,4.2
ST70182,C10406,2025-11-20,Software,Medium,Phone,Support,Escalated,11.44,4.5
ST70183,C10232,2025-01-17,Hardware,Medium,Email,Support,Resolved,6.35,4.1
ST70184,C10023,2026-04-02,Training,High,Chat,Customer Success,Pending Customer,18.88,3.2
ST70185,C10215,2025-09-16,Installation,High,Phone,Support,Resolved,6.24,3.4
ST70186,C10271,2025-06-04,Hardware,High,Email,Support,Open,22.19,4.5
ST70187,C10919,2026-07-04,Software,Low,Chat,Support,Resolved,39.07,3.5
ST70188,C10782,2026-05-14,Installation,Low,Chat,Support,Resolved,2.31,2.5
ST70189,C10351,2025-09-13,Billing,Medium,Email,Support,Resolved,9.79,4.4
ST70190,C10958,2025-09-15,Installation,Low,Chat,Support,Pending Customer,6.9,3.4
ST70191,C10836,2026-06-13,Hardware,Medium,Phone,Support,Resolved,5.14,4.6
ST70192,C10250,2025-04-21,Hardware,Medium,Portal,Support,Resolved,21.77,3.9
ST70193,C10478,2025-08-26,Hardware,Medium,Phone,Engineering,Resolved,20.0,3.9
ST70194,C10921,2025-11-27,Installation,Low,Chat,Support,Resolved,42.66,4.1
ST70195,C10457,2025-07-21,Hardware,High,Portal,Support,Resolved,28.22,3.2
ST70196,C10370,2025-07-03,Performance,Medium,Phone,Engineering,Resolved,17.94,3.5
ST70197,C10903,2025-03-04,Installation,Medium,Email,Support,Resolved,21.08,3.9
ST70198,C10660,2025-06-04,Training,Medium,Chat,Customer Success,Open,11.42,3.2
ST70199,C10440,2025-07-27,Billing,Low,Chat,Support,Resolved,21.58,4.6
ST70200,C10869,2026-05-01,Installation,Medium,Email,Customer Success,Resolved,4.19,3.9
ST70201,C10744,2025-07-15,Installation,Low,Portal,Engineering,Resolved,15.51,3.0
ST70202,C10347,2025-04-04,Installation,Medium,Email,Support,Resolved,24.06,3.7
ST70203,C10424,2026-05-06,Connectivity,Low,Portal,Engineering,Escalated,26.82,3.5
ST70204,C10047,2025-07-24,Hardware,Low,Portal,Support,Resolved,10.11,3.8
ST70205,C10101,2026-06-18,Software,Low,Chat,Support,Resolved,18.53,4.4
ST70206,C10954,2025-03-05,Installation,Low,Phone,Support,Pending Customer,8.88,4.5
ST70207,C10053,2025-01-13,Software,High,Chat,Support,Resolved,14.22,5.0
ST70208,C10836,2026-06-19,Training,High,Chat,Support,Escalated,30.1,5.0
ST70209,C10208,2025-02-26,Installation,Low,Phone,Engineering,Resolved,31.39,2.9
ST70210,C10541,2025-01-05,Software,Low,Email,Customer Success,Pending Customer,20.31,3.8
ST70211,C10722,2026-01-09,Installation,High,Chat,Engineering,Pending Customer,7.47,3.9
ST70212,C10991,2025-07-04,Hardware,Low,Chat,Support,Pending Customer,13.18,4.5
ST70213,C10373,2025-10-09,Software,Medium,Email,Support,Resolved,18.78,3.4
ST70214,C10925,2025-08-25,Performance,Low,Email,Support,Pending Customer,9.71,3.7
ST70215,C10454,2025-06-22,Hardware,Medium,Chat,Support,Open,50.31,3.2
ST70216,C10867,2025-10-07,Hardware,Critical,Portal,Support,Resolved,9.89,3.6
ST70217,C10101,2025-05-31,Training,Low,Portal,Engineering,Resolved,17.87,3.7
ST70218,C10268,2025-05-11,Billing,High,Portal,Engineering,Resolved,32.73,3.9
ST70219,C10623,2025-05-11,Billing,High,Chat,Support,Escalated,45.15,3.2
ST70220,C10706,2025-03-10,Hardware,Critical,Portal,Support,Pending Customer,13.176,4.1
ST70221,C10803,2025-11-01,Installation,High,Portal,Support,Resolved,4.32,4.5
ST70222,C10357,2025-11-15,Installation,High,Portal,Support,Resolved,20.14,3.0
ST70223,C10624,2025-01-11,Connectivity,Medium,Email,Customer Success,Resolved,54.22,4.1
ST70224,C10620,2025-09-24,Billing,High,Email,Support,Resolved,5.02,2.9
ST70225,C10984,2026-03-05,Software,Low,Portal,Support,Pending Customer,13.56,5.0
ST70226,C10117,2025-01-01,Hardware,Medium,Email,Support,Resolved,21.39,5.0
ST70227,C10016,2025-06-24,Hardware,Medium,Chat,Engineering,Pending Customer,18.46,4.1
ST70228,C10574,2026-07-12,Hardware,Low,Portal,Customer Success,Resolved,23.78,3.5
ST70229,C10015,2025-09-05,Installation,Low,Phone,Engineering,Resolved,41.0,3.6
ST70230,C10195,2025-01-10,Connectivity,Low,Portal,Support,Open,33.17,3.8
ST70231,C10500,2025-11-02,Installation,Medium,Chat,Support,Resolved,23.994,3.3
ST70232,C10267,2025-08-27,Connectivity,Low,Portal,Support,Escalated,4.95,5.0
ST70233,C10266,2025-05-03,Software,Low,Email,Engineering,Escalated,34.85,4.8
ST70234,C10346,2025-02-12,Performance,Low,Portal,Support,Pending Customer,13.53,4.8
ST70235,C10686,2026-05-28,Connectivity,Medium,Email,Customer Success,Pending Customer,18.28,4.2
ST70236,C10365,2026-04-17,Billing,Low,Phone,Support,Resolved,30.92,3.2
ST70237,C10793,2026-01-31,Software,Low,Phone,Support,Resolved,34.13,3.5
ST70238,C10159,2025-01-11,Performance,Low,Portal,Support,Pending Customer,29.73,4.1
ST70239,C10102,2026-05-20,Connectivity,Medium,Portal,Support,Resolved,48.53,3.2
ST70240,C10166,2025-10-02,Training,Low,Phone,Customer Success,Pending Customer,16.86,4.3
ST70241,C10917,2025-10-03,Connectivity,Critical,Phone,Engineering,Resolved,10.4,4.7
ST70242,C10277,2026-05-25,Software,Low,Chat,Customer Success,Pending Customer,8.07,4.5
ST70243,C10029,2025-09-08,Billing,Low,Chat,Support,Resolved,10.88,4.5
ST70244,C10315,2025-05-17,Billing,Medium,Email,Customer Success,Pending Customer,11.23,2.7
ST70245,C10688,2025-05-18,Performance,High,Phone,Support,Resolved,20.36,5.0
ST70246,C10361,2026-06-22,Connectivity,Medium,Email,Customer Success,Resolved,25.48,2.9
ST70247,C10384,2025-11-13,Installation,Low,Portal,Customer Success,Pending Customer,7.12,4.0
ST70248,C10086,2025-12-02,Training,Medium,Phone,Support,Resolved,30.98,4.6
ST70249,C10667,2025-12-11,Installation,Medium,Phone,Support,Resolved,33.0,4.4
ST70250,C10220,2025-05-08,Installation,Medium,Chat,Support,Resolved,25.91,3.1
ST70251,C10097,2025-09-01,Training,Critical,Chat,Support,Resolved,12.15,3.3
ST70252,C10714,2026-07-06,Connectivity,Critical,Chat,Engineering,Resolved,40.03,4.3
ST70253,C10937,2025-03-26,Installation,Medium,Phone,Customer Success,Resolved,16.64,4.5
ST70254,C10610,2026-07-06,Performance,Low,Phone,Support,Resolved,9.37,3.3
ST70255,C10937,2025-06-08,Billing,Medium,Chat,Support,Resolved,7.06,4.4
ST70256,C10402,2025-06-21,Software,High,Email,Customer Success,Pending Customer,19.19,3.0
ST70257,C10519,2025-01-09,Billing,High,Portal,Support,Resolved,12.32,4.6
ST70258,C10357,2026-01-20,Software,Low,Portal,Support,Resolved,5.47,3.4
ST70259,C10509,2025-07-05,Software,Low,Phone,Customer Success,Resolved,4.09,4.2
ST70260,C10892,2025-09-24,Training,Low,Portal,Support,Resolved,38.322,3.3
ST70261,C10634,2025-12-03,Connectivity,High,Email,Support,Pending Customer,4.74,5.0
ST70262,C10026,2026-01-03,Software,Medium,Chat,Support,Open,1.58,4.3
ST70263,C10580,2026-07-09,Training,Medium,Phone,Support,Resolved,33.32,3.7
ST70264,C10377,2025-11-19,Training,Medium,Phone,Engineering,Resolved,7.85,4.4
ST70265,C10543,2025-04-14,Training,Low,Chat,Customer Success,Pending Customer,23.68,5.0
ST70266,C10557,2026-02-13,Connectivity,High,Chat,Engineering,Resolved,18.91,4.7
ST70267,C10589,2025-02-02,Hardware,Medium,Chat,Engineering,Resolved,10.2,4.1
ST70268,C10866,2026-05-05,Performance,Low,Portal,Support,Resolved,42.99,3.5
ST70269,C10858,2025-06-21,Billing,Medium,Email,Support,Escalated,26.31,3.6
ST70270,C10971,2026-02-23,Software,Medium,Portal,Customer Success,Resolved,15.89,4.6
ST70271,C10611,2025-04-01,Training,Medium,Chat,Support,Resolved,15.264000000000001,2.7
ST70272,C10285,2025-08-24,Hardware,High,Chat,Engineering,Pending Customer,24.9,4.1
ST70273,C10195,2026-02-08,Performance,Low,Email,Support,Resolved,27.58,5.0
ST70274,C10849,2025-12-27,Connectivity,Low,Chat,Support,Resolved,17.7,4.2
ST70275,C10913,2025-01-04,Training,Low,Portal,Customer Success,Resolved,16.19,3.3
ST70276,C10037,2025-01-21,Software,Medium,Chat,Engineering,Escalated,26.26,5.0
ST70277,C10215,2026-07-23,Installation,High,Phone,Customer Success,Resolved,15.62,5.0
ST70278,C10679,2025-11-03,Training,Medium,Email,Support,Resolved,9.24,4.5
ST70279,C10165,2026-05-12,Software,High,Portal,Support,Pending Customer,5.08,5.0
ST70280,C10050,2025-02-12,Billing,Medium,Email,Support,Open,15.71,3.9
ST70281,C10997,2025-10-12,Software,Critical,Portal,Customer Success,Resolved,4.93,4.6
ST70282,C10096,2025-12-01,Hardware,Medium,Chat,Support,Resolved,27.81,3.8
ST70283,C10213,2026-06-19,Performance,Low,Phone,Customer Success,Resolved,15.71,3.1
ST70284,C10988,2026-02-17,Connectivity,High,Phone,Support,Resolved,30.71,5.0
ST70285,C10100,2025-12-31,Billing,High,Phone,Support,Resolved,19.94,3.0
ST70286,C10799,2025-06-20,Installation,Medium,Email,Engineering,Pending Customer,23.75,4.3
ST70287,C10562,2026-07-31,Training,High,Phone,Support,Open,9.93,4.3
ST70288,C10539,2025-07-10,Performance,Medium,Portal,Customer Success,Pending Customer,14.95,4.5
ST70289,C10827,2025-06-11,Software,Medium,Phone,Support,Resolved,19.74,4.0
ST70290,C10021,2026-02-24,Connectivity,Low,Email,Engineering,Resolved,18.18,4.0
ST70291,C10060,2026-08-02,Performance,Medium,Phone,Support,Open,17.63,4.2
ST70292,C10195,2026-05-12,Billing,Low,Phone,Support,Resolved,6.98,4.5
ST70293,C10490,2025-04-15,Software,Low,Portal,Engineering,Resolved,5.652,3.4
ST70294,C10962,2026-04-18,Software,Low,Email,Customer Success,Resolved,6.56,4.0
ST70295,C10068,2025-07-24,Training,Medium,Email,Support,Resolved,1.1,3.1
ST70296,C10420,2025-05-09,Performance,High,Portal,Support,Resolved,3.63,5.0
ST70297,C10428,2026-06-27,Connectivity,Low,Phone,Support,Resolved,20.75,4.5
ST70298,C10196,2026-07-05,Installation,Medium,Chat,Engineering,Pending Customer,13.55,4.3
ST70299,C10343,2025-08-03,Billing,Low,Phone,Customer Success,Resolved,8.79,3.6
ST70300,C10200,2025-01-16,Training,Medium,Portal,Engineering,Resolved,13.35,3.3
ST70301,C10137,2025-05-02,Connectivity,Low,Portal,Engineering,Resolved,2.47,
ST70302,C10521,2025-11-10,Installation,Medium,Email,Support,Resolved,15.43,4.0
ST70303,C10931,2025-02-04,Training,High,Email,Support,Resolved,5.43,4.6
ST70304,C10404,2025-05-12,Software,Medium,Email,Customer Success,Resolved,36.37,3.1
ST70305,C10634,2025-03-28,Installation,Medium,Chat,Customer Success,Resolved,24.5,5.0
ST70306,C10670,2026-07-07,Software,Medium,Email,Customer Success,Resolved,23.08,4.8
ST70307,C10843,2025-07-26,Software,Low,Chat,Support,Escalated,17.95,4.0
ST70308,C10824,2025-08-09,Performance,Medium,Phone,Engineering,Resolved,25.94,4.5
ST70309,C10905,2025-09-02,Performance,Low,Phone,Customer Success,Resolved,15.48,4.7
ST70310,C10814,2025-01-08,Performance,Medium,Chat,Engineering,Escalated,8.59,3.1
ST70311,C10930,2025-11-11,Performance,High,Chat,Support,Open,23.36,5.0
ST70312,C10966,2026-06-14,Training,Medium,Email,Support,Open,31.84,4.5
ST70313,C10748,2026-04-17,Software,Medium,Chat,Customer Success,Resolved,7.33,3.6
