product_id,product_name,category,unit_cost,list_price,launch_date
P1164,Orion Product 165,Maintenance,1128.25,1297.49,2024-10-06
P1165,Orion Product 166,Connectivity,233.9,733.31,2025-03-16
P1166,Orion Product 167,Tracking Hardware,1153.95,1988.84,2024-08-27
P1167,Orion Product 168,Tracking Hardware,976.99,1123.54,2025-02-21
P1168,Orion Product 169,Maintenance,744.92,856.66,2025-01-18
P1169,Orion Product 170,Fleet Software,956.54,2013.58,2025-03-26
P1170,Orion Product 171,Fleet Software,970.53,1235.56,2024-11-30
P1171,Orion Product 172,Fleet Software,1139.55,1671.75,2025-04-01
P1172,Orion Product 173,Connectivity,363.79,1361.03,2025-12-02
P1173,Orion Product 174,Connectivity,740.89,1489.55,2025-01-04
P1174,Orion Product 175,Connectivity,186.46,763.74,2024-11-03
P1175,Orion Product 176,Maintenance,770.11,885.63,2024-04-21
P1176,Orion Product 177,Connectivity,271.85,811.11,2024-11-01
P1177,Orion Product 178,Fleet Software,712.74,819.65,2024-04-16
P1178,Orion Product 179,Accessories,721.12,1942.34,2024-06-04
P1179,Orion Product 180,Analytics,601.9,730.66,2026-03-20
P1180,Orion Product 181,Accessories,665.35,1301.05,2024-03-17
P1181,Orion Product 182,Fleet Software,935.59,1773.55,2025-02-13
P1182,Orion Product 183,Maintenance,975.15,1756.84,2025-12-10
P1183,Orion Product 184,Connectivity,631.21,1048.69,2026-03-21
P1184,Orion Product 185,Maintenance,751.54,1126.33,2024-05-04
P1185,Orion Product 186,Maintenance,1122.98,2189.14,2024-05-19
P1186,Orion Product 187,Fleet Software,214.1,1532.92,2024-11-12
P1187,Orion Product 188,Maintenance,211.16,1820.01,2025-04-16
P1188,Orion Product 189,Tracking Hardware,178.23,2000.24,2026-03-26
P1189,Orion Product 190,Tracking Hardware,816.81,1764.56,2024-06-25
P1190,Orion Product 191,Connectivity,548.84,631.17,2024-05-19
P1191,Orion Product 192,Analytics,947.24,1302.45,2024-08-03
P1192,Orion Product 193,Analytics,831.78,956.55,2026-01-13
P1193,Orion Product 194,Maintenance,453.67,1488.49,2024-01-26
P1194,Orion Product 195,Accessories,1086.17,2108.47,2024-11-19
P1195,Orion Product 196,Fleet Software,934.04,1201.1,2024-04-11
P1196,Orion Product 197,Maintenance,383.0,1037.59,2024-05-13
P1197,Orion Product 198,Fleet Software,487.9,561.08,2026-02-18
P1198,Orion Product 199,Maintenance,432.17,2117.54,2024-01-02
P1199,Orion Product 200,Accessories,256.53,361.16,2024-09-30
P1200,Orion Product 201,Maintenance,245.52,282.35,2026-02-17
P1201,Orion Product 202,Accessories,1128.46,1297.73,2025-05-31
P1202,Orion Product 203,Maintenance,570.45,656.02,2024-03-01
P1203,Orion Product 204,Connectivity,509.32,1082.99,2025-01-30
P1204,Orion Product 205,Maintenance,897.25,1207.98,2026-04-05
P1205,Orion Product 206,Tracking Hardware,699.35,804.25,2024-12-06
P1206,Orion Product 207,Connectivity,1128.48,1297.75,2025-03-25
P1207,Orion Product 208,Accessories,953.94,1097.03,2025-03-28
P1208,Orion Product 209,Tracking Hardware,616.89,938.23,2025-07-15
P1209,Orion Product 210,Connectivity,501.52,576.75,2024-06-08
P1210,Orion Product 211,Tracking Hardware,1185.03,1581.29,2025-12-14
P1211,Orion Product 212,Connectivity,883.89,1016.47,2026-04-20
P1212,Orion Product 213,Connectivity,1145.34,1317.14,2024-05-01
P1213,Orion Product 214,Maintenance,212.7,957.96,2025-11-26
P1214,Orion Product 215,Connectivity,1032.6,1187.49,2025-11-25
P1215,Orion Product 216,Tracking Hardware,793.52,912.55,2025-09-22
P1216,Orion Product 217,Fleet Software,216.55,379.74,2024-11-11
P1217,Orion Product 218,Fleet Software,738.85,1918.67,2025-02-02
P1218,Orion Product 219,Maintenance,848.43,975.69,2025-12-14
P1219,Orion Product 220,Accessories,93.78,1191.74,2024-05-09
P1220,Orion Product 221,Fleet Software,588.84,1153.48,2025-12-05
P1221,Orion Product 222,Maintenance,1004.45,1155.12,2026-02-21
P1222,Orion Product 223,Connectivity,410.8,1034.22,2025-08-02
P1223,Orion Product 224,Tracking Hardware,593.57,1750.19,2024-10-17
P1224,Orion Product 225,Connectivity,575.39,1874.47,2025-04-20
P1225,Orion Product 226,Tracking Hardware,418.16,683.71,2024-02-12
P1226,Orion Product 227,Connectivity,1108.65,1274.95,2026-03-03
P1227,Orion Product 228,Analytics,955.05,1098.31,2024-10-18
P1228,Orion Product 229,Analytics,203.86,1133.72,2024-02-18
P1229,Orion Product 230,Tracking Hardware,1196.68,1550.68,2025-11-06
P1230,Orion Product 231,Maintenance,1064.7,1224.4,2025-07-12
P1231,Orion Product 232,Accessories,397.98,828.01,2025-06-13
P1232,Orion Product 233,Fleet Software,1017.32,2057.29,2024-02-15
P1233,Orion Product 234,Connectivity,199.19,249.57,2025-09-30
P1234,Orion Product 235,Maintenance,1199.0,1378.85,2025-06-25
P1235,Orion Product 236,Connectivity,825.57,1608.69,2025-11-05
P1236,Orion Product 237,Analytics,808.14,929.36,2025-12-04
P1237,Orion Product 238,Maintenance,181.29,247.12,2024-06-29
P1238,Orion Product 239,Tracking Hardware,1084.68,1247.38,2024-06-28
P1239,Orion Product 240,Analytics,112.48,2033.59,2026-02-24
P1240,Orion Product 241,Fleet Software,349.73,402.19,2025-03-27
P1241,Orion Product 242,Analytics,240.18,536.06,2025-01-07
P1242,Orion Product 243,Fleet Software,949.98,1092.48,2024-09-01
P1243,Orion Product 244,Analytics,301.99,376.79,2025-06-27
P1244,Orion Product 245,Analytics,1099.91,1421.31,2025-10-02
P1245,Orion Product 246,Fleet Software,815.02,937.27,2024-01-02
P1246,Orion Product 247,Connectivity,120.5,1316.88,2025-04-14
P1247,Orion Product 248,Maintenance,86.08,1359.9,2026-04-24
P1248,Orion Product 249,Connectivity,137.86,1891.34,2024-08-26
P1249,Orion Product 250,Fleet Software,758.64,872.44,2024-08-26
P1250,Orion Product 251,Tracking Hardware,977.66,1899.41,2026-01-16
P1251,Orion Product 252,Maintenance,347.18,1419.19,2024-02-22
P1252,Orion Product 253,Tracking Hardware,1031.34,1186.04,2024-12-03
P1253,Orion Product 254,Tracking Hardware,144.1,1734.52,2025-01-24
P1254,Orion Product 255,Analytics,977.08,1903.76,2025-11-09
P1255,Orion Product 256,Fleet Software,1119.13,1287.0,2024-04-19
P1256,Orion Product 257,Connectivity,944.76,2033.53,2025-01-03
P1257,Orion Product 258,Fleet Software,861.9,1081.64,2024-05-09
P1258,Orion Product 259,Tracking Hardware,1018.54,1387.02,2025-10-31
P1259,Orion Product 260,Analytics,124.97,2168.53,2025-06-21
P1260,Orion Product 261,Connectivity,306.0,891.15,2025-02-26
P1261,Orion Product 262,Tracking Hardware,219.91,1816.98,2024-11-29
P1262,Orion Product 263,Tracking Hardware,645.07,802.72,2024-05-10
P1263,Orion Product 264,Accessories,914.61,1788.39,2026-02-22
P1264,Orion Product 265,Accessories,785.61,1381.5,2025-07-04
P1265,Orion Product 266,Analytics,1033.27,1188.26,2024-09-28
P1266,Orion Product 267,Maintenance,253.84,998.75,2024-12-17
P1267,Orion Product 268,Maintenance,902.78,1038.2,2025-09-09
P1268,Orion Product 269,Analytics,296.21,340.64,2025-09-03
P1269,Orion Product 270,Analytics,383.25,440.74,2025-01-26
P1270,Orion Product 271,Tracking Hardware,875.09,1006.35,2024-09-14
P1271,Orion Product 272,Fleet Software,1177.83,1354.5,2025-07-14
P1272,Orion Product 273,Fleet Software,764.93,879.67,2025-07-13
P1273,Orion Product 274,Accessories,141.04,1636.63,2025-05-24
P1274,Orion Product 275,Maintenance,770.27,1601.59,2024-03-02
P1275,Orion Product 276,Maintenance,127.43,1664.09,2025-02-05
P1276,Orion Product 277,Maintenance,1070.24,1230.78,2025-06-05
P1277,Orion Product 278,Connectivity,874.73,1974.54,2026-03-18
P1278,Orion Product 279,Fleet Software,273.9,1367.35,2025-03-22
P1279,Orion Product 280,Fleet Software,182.73,408.35,2024-10-18
P1280,Orion Product 281,Tracking Hardware,285.56,444.62,2025-04-17
P1281,Orion Product 282,Maintenance,1177.63,1570.85,2024-05-30
P1282,Orion Product 283,Connectivity,593.59,682.63,2024-03-18
P1283,Orion Product 284,Maintenance,958.17,1189.95,2025-07-30
P1284,Orion Product 285,Maintenance,792.78,2183.14,2026-04-18
P1285,Orion Product 286,Accessories,721.1,829.26,2025-12-20
P1286,Orion Product 287,Fleet Software,242.55,278.93,2025-05-11
P1287,Orion Product 288,Analytics,1139.55,2185.82,2024-02-04
P1288,Orion Product 289,Analytics,417.5,1348.51,2026-04-19
P1289,Orion Product 290,Maintenance,727.38,836.49,2025-01-17
P1290,Orion Product 291,Connectivity,863.75,1989.47,2024-09-03
P1291,Orion Product 292,Tracking Hardware,807.14,1954.78,2026-01-28
P1292,Orion Product 293,Accessories,1133.47,1303.49,2025-09-26
P1293,Orion Product 294,Tracking Hardware,246.25,1424.67,2025-09-29
P1294,Orion Product 295,Analytics,649.36,746.76,2024-08-24
P1295,Orion Product 296,Analytics,532.52,612.4,2026-04-23
P1296,Orion Product 297,Accessories,611.07,1368.86,2025-01-19
P1297,Orion Product 298,Maintenance,213.52,754.25,2025-03-27
P1298,Orion Product 299,Tracking Hardware,230.19,1510.42,2025-09-30
P1299,Orion Product 300,Fleet Software,391.44,1864.3,2025-07-14
P1300,Orion Product 301,Maintenance,421.27,484.46,2024-05-26
P1301,Orion Product 302,Connectivity,559.25,1371.21,2024-09-14
P1302,Orion Product 303,Fleet Software,764.31,878.96,2024-11-03
P1303,Orion Product 304,Accessories,790.78,1941.47,2026-03-16
P1304,Orion Product 305,Analytics,541.23,670.01,2025-08-30
P1305,Orion Product 306,Fleet Software,537.84,1402.08,2024-11-07
P1306,Orion Product 307,Tracking Hardware,323.74,1284.76,2025-09-16
P1307,Orion Product 308,Analytics,738.9,962.14,2025-09-19
P1308,Orion Product 309,Tracking Hardware,435.09,1539.12,2024-12-01
P1309,Orion Product 310,Fleet Software,120.39,1637.83,2024-12-08
P1310,Orion Product 311,Analytics,548.61,1312.22,2026-01-30
P1311,Orion Product 312,Connectivity,611.03,1704.77,2025-04-22
P1312,Orion Product 313,Fleet Software,332.66,2166.01,2024-05-07
P1313,Orion Product 314,Tracking Hardware,721.15,1009.51,2025-09-03
P1314,Orion Product 315,Tracking Hardware,713.66,1204.9,2025-05-16
P1315,Orion Product 316,Analytics,866.24,996.18,2025-03-08
P1316,Orion Product 317,Connectivity,805.7,1781.86,2025-09-08
P1317,Orion Product 318,Connectivity,810.73,1216.47,2026-02-10
P1318,Orion Product 319,Accessories,434.16,986.32,2024-10-07
P1319,Orion Product 320,Connectivity,961.92,1106.21,2024-12-22
P1320,Orion Product 321,Tracking Hardware,695.04,1973.8,2024-06-10
P1321,Orion Product 322,Fleet Software,563.19,959.76,2025-07-04
P1322,Orion Product 323,Analytics,781.13,1549.29,2024-12-08
P1323,Orion Product 324,Accessories,483.94,556.53,2024-10-18
P1324,Orion Product 325,Accessories,654.27,2121.18,2025-08-15
P1325,Orion Product 326,Tracking Hardware,905.11,1040.88,2024-12-12
P1326,Orion Product 327,Tracking Hardware,1072.77,1233.69,2025-01-29
P1327,Orion Product 328,Fleet Software,1111.58,1910.91,2025-01-09
P1328,Orion Product 329,Fleet Software,644.07,2020.79,2024-08-07
P1329,Orion Product 330,Analytics,662.71,762.12,2024-04-16
P1330,Orion Product 331,Analytics,975.85,1122.23,2025-12-04
P1331,Orion Product 332,Maintenance,432.18,1653.66,2024-03-18
P1332,Orion Product 333,Tracking Hardware,1017.87,1950.65,2024-10-03
P1333,Orion Product 334,Connectivity,633.44,927.06,2025-07-21
P1334,Orion Product 335,Maintenance,209.76,1209.89,2024-04-21
P1335,Orion Product 336,Connectivity,160.71,1670.52,2025-07-11
P1336,Orion Product 337,Accessories,1023.03,1648.83,2025-09-15
P1337,Orion Product 338,Tracking Hardware,142.24,1755.07,2025-07-17
P1338,Orion Product 339,Tracking Hardware,394.28,1318.36,2024-09-16
P1339,Orion Product 340,Accessories,454.23,522.36,2024-01-17
P1340,Orion Product 341,Analytics,273.75,2003.15,2026-01-24
P1341,Orion Product 342,Tracking Hardware,431.56,1924.42,2024-10-04
P1342,Orion Product 343,Analytics,911.82,1786.1,2025-11-15
P1343,Orion Product 344,Analytics,96.44,354.72,2024-06-17
P1344,Orion Product 345,Accessories,1006.43,1157.39,2024-05-18
P1345,Orion Product 346,Tracking Hardware,1039.33,1674.38,2025-10-23
P1346,Orion Product 347,Accessories,496.93,571.47,2026-03-09
P1347,Orion Product 348,Accessories,252.05,2157.41,2026-01-01
P1348,Orion Product 349,Tracking Hardware,752.94,923.15,2025-09-30
P1349,Orion Product 350,Fleet Software,214.03,1624.59,2024-07-28
