transaction_id,customer_id,product_id,transaction_date,quantity,discount_pct,payment_status,sales_channel,gross_revenue,discount_amount,net_revenue,estimated_cost,estimated_margin
T50067,C10657,P1225,2025-10-14,19,0.1,Paid,Partner,12990.49,1299.05,11691.44,7945.04,3746.4
T50068,C10563,P1299,2025-02-17,2,0.0,Paid,Direct,3728.6,0.0,3728.6,782.88,2945.72
T50069,C10389,P1267,2026-06-17,19,0.0,Pending,Online,19725.8,0.0,19725.8,17152.82,2572.98
T50070,C10930,P1227,2026-04-29,13,0.02,Pending,Partner,14278.03,285.56,13992.47,12415.65,1576.82
T50071,C10901,P1274,2025-07-25,3,0.02,Paid,Direct,4804.77,96.1,4708.67,2310.81,2397.86
T50072,C10198,P1098,2025-09-25,20,0.0,Paid,Direct,22064.0,0.0,22064.0,14841.6,7222.4
T50073,C10642,P1147,2026-05-13,29,0.05,Paid,Direct,63656.16,3182.81,60473.35,12985.04,47488.31
T50074,C10968,P1139,2025-06-21,3,0.0,Paid,Online,2552.85,0.0,2552.85,1471.08,1081.77
T50075,C10488,P1279,2025-05-17,26,0.0,Pending,Partner,10617.1,0.0,10617.1,4750.98,5866.12
T50076,C10030,P1143,2025-05-21,25,0.0,Paid,Partner,18938.5,0.0,18938.5,10312.5,8626.0
T50077,C10132,P1328,2026-02-15,16,0.0,Failed,Partner,32332.64,0.0,32332.64,10305.12,22027.52
T50078,C10667,P1065,2025-05-03,27,0.02,Refunded,Direct,55384.83,1107.7,54277.13,27241.92,27035.21
T50079,C10901,P1060,2025-02-21,9,0.15,Failed,Online,12988.89,1948.33,11040.56,8827.92,2212.64
T50080,C10128,P1250,2025-04-06,21,0.0,Paid,Online,39887.61,0.0,39887.61,20530.86,19356.75
T50081,C10546,P1267,2026-07-26,21,0.02,Paid,Partner,21802.2,436.04,21366.16,18958.38,2407.78
T50082,C10496,P1237,2026-05-22,17,0.05,Pending,Direct,4201.04,210.05,3990.99,3081.93,909.06
T50083,C10285,P1107,2026-07-08,25,0.05,Paid,Direct,9923.0,496.15,9426.85,8628.75,798.1
T50084,C10631,P1003,2025-06-10,26,0.05,Refunded,Direct,45053.32,2252.67,42800.65,28045.68,14754.97
T50085,C10877,P1112,2025-09-14,23,0.0,Paid,Direct,37080.14,0.0,37080.14,11464.35,25615.79
T50086,C10239,P1163,2025-10-12,18,0.05,Paid,Partner,30447.36,1522.37,28924.99,3143.34,25781.65
T50087,C10054,P1144,2025-10-31,29,0.0,Refunded,Partner,38109.77,0.0,38109.77,33138.88,4970.89
T50088,C10359,P1322,2025-01-16,17,0.1,Pending,Online,26337.93,2633.79,23704.14,13279.21,10424.93
T50089,C10314,P1302,2025-12-13,19,0.0,Paid,Direct,16700.24,0.0,16700.24,14521.89,2178.35
T50090,C10727,P1271,2025-01-23,6,0.05,Paid,Direct,8127.0,406.35,7720.65,7066.98,653.67
T50091,C10536,P1007,2025-06-09,10,0.05,Paid,Direct,9450.8,472.54,8978.26,6611.2,2367.06
T50092,C10017,P1044,2025-06-19,27,0.05,Paid,Online,33912.81,1695.64,32217.17,14182.83,18034.34
T50093,C10339,P1151,2026-01-27,15,0.0,Paid,Partner,30395.4,0.0,30395.4,14713.8,15681.6
T50094,C10735,P1217,2026-06-04,15,0.05,Paid,Direct,28780.05,1439.0,27341.05,11082.75,16258.3
T50095,C10476,P1238,2026-02-10,24,0.05,Paid,Partner,29937.12,1496.86,28440.26,26032.32,2407.94
T50096,C10562,P1103,2025-09-10,10,0.02,Paid,Partner,12887.0,257.74,12629.26,10600.1,2029.16
T50097,C10264,P1038,2025-11-01,8,0.0,Paid,Direct,11656.48,0.0,11656.48,7844.96,3811.52
T50098,C10319,P1114,2025-10-25,1,0.0,Paid,Direct,1924.19,0.0,1924.19,193.87,1730.32
T50099,C10130,P1277,2025-03-27,7,0.0,Paid,Direct,13821.78,0.0,13821.78,6123.11,7698.67
T50100,C10081,P1345,2026-07-10,15,0.1,Paid,Direct,25115.7,2511.57,22604.13,15589.95,7014.18
T50101,C10036,P1329,2026-06-18,22,0.02,Paid,Partner,16766.64,335.33,16431.31,14579.62,1851.69
T50102,C10624,P1207,2025-05-20,10,0.05,Paid,Direct,10970.3,548.52,10421.78,9539.4,882.38
T50103,C10157,P1031,2025-03-08,13,0.05,Paid,Partner,9733.36,486.67,9246.69,2959.32,6287.37
T50104,C10573,P1338,2025-04-06,7,0.05,Paid,Partner,9228.52,461.43,8767.09,2759.96,6007.13
T50105,C10952,P1053,2025-12-31,24,0.05,Pending,Direct,45433.44,2271.67,43161.77,18961.2,24200.57
T50106,C10697,P1093,2025-01-18,16,0.05,Pending,Online,6462.88,323.14,6139.74,3349.6,2790.14
T50107,C10575,P1340,2025-03-01,5,0.02,Refunded,Direct,10015.75,200.32,9815.43,1368.75,8446.68
T50108,C10116,P1176,2026-01-12,18,0.0,Failed,Partner,14599.98,0.0,14599.98,4893.3,9706.68
T50109,C10488,P1069,2025-03-26,10,0.1,Paid,Direct,8725.5,872.55,7852.95,7587.4,265.55
T50110,C10891,P1175,2025-02-09,26,0.2,Pending,Partner,23026.38,4605.28,18421.1,20022.86,-1601.76
T50111,C10384,P1027,2025-01-12,8,0.02,Paid,Direct,5895.6,117.91,5777.69,5126.64,651.05
T50112,C10826,P1110,2026-02-14,26,0.15,Paid,Direct,16331.64,2449.75,13881.89,14201.46,-319.57
T50113,C10708,P1333,2025-07-30,21,0.2,Failed,Direct,19468.26,3893.65,15574.61,13302.24,2272.37
T50114,C10266,P1104,2025-06-14,4,0.02,Paid,Partner,7176.88,143.54,7033.34,4133.08,2900.26
T50115,C10141,P1312,2026-01-06,23,0.05,Paid,Partner,49818.23,2490.91,47327.32,7651.18,39676.14
T50116,C10016,P1190,2025-04-09,21,0.05,Paid,Partner,13254.57,662.73,12591.84,11525.64,1066.2
T50117,C10276,P1229,2025-10-30,14,0.0,Paid,Direct,21709.52,0.0,21709.52,16753.52,4956.0
T50118,C10332,P1246,2025-10-08,5,0.0,Paid,Partner,6584.4,0.0,6584.4,602.5,5981.9
T50119,C10655,P1193,2026-01-27,14,0.02,Pending,Partner,20838.86,416.78,20422.08,6351.38,14070.7
T50120,C10572,P1012,2025-12-28,18,0.1,Paid,Direct,8742.42,874.24,7868.18,3344.4,4523.78
T50121,C10479,P1321,2026-01-27,4,0.0,Paid,,3839.04,0.0,3839.04,2252.76,1586.28
T50122,C10722,P1166,2025-05-04,10,0.1,Paid,Direct,19888.4,1988.84,17899.56,11539.5,6360.06
T50123,C10770,P1229,2025-03-23,21,0.05,Paid,Partner,32564.28,1628.21,30936.07,25130.28,5805.79
T50124,C10713,P1193,2025-11-06,17,0.05,Paid,Direct,25304.33,1265.22,24039.11,7712.39,16326.72
T50125,C10897,P1230,2025-02-03,29,0.0,Paid,Direct,35507.6,0.0,35507.6,30876.3,4631.3
T50126,C10359,P1124,2025-09-21,7,0.02,Paid,Online,6436.64,128.73,6307.91,5597.06,710.85
T50127,C10823,P1295,2025-12-29,23,0.0,Paid,Online,14085.2,0.0,14085.2,12247.96,1837.24
T50128,C10420,P1078,2026-04-22,13,0.0,Paid,Direct,21156.59,0.0,21156.59,4648.54,16508.05
T50129,C10184,P1228,2026-01-14,7,0.0,Paid,Online,7936.04,0.0,7936.04,1427.02,6509.02
T50130,C10145,P1202,2026-07-31,28,0.0,Paid,Direct,18368.56,0.0,18368.56,15972.6,2395.96
T50131,C10091,P1176,2025-11-19,19,0.0,Paid,Online,15411.09,0.0,15411.09,5165.15,10245.94
T50132,C10955,P1007,2025-09-16,16,0.05,Paid,Direct,15121.28,756.06,14365.22,10577.92,3787.3
T50133,C10169,P1136,2025-05-23,9,0.02,Paid,Direct,17706.96,354.14,17352.82,4922.28,12430.54
T50134,C10835,P1016,2026-01-26,26,0.0,Paid,Online,33533.24,0.0,33533.24,9097.14,24436.1
T50135,C10783,P1176,2026-04-16,1,0.1,Paid,Direct,811.11,81.11,730.0,271.85,458.15
T50136,C10439,P1240,2025-07-06,4,0.02,Failed,Partner,1608.76,32.18,1576.58,1398.92,177.66
T50137,C10913,P1182,2025-02-13,6,0.15,Paid,Direct,10541.04,1581.16,8959.88,5850.9,3108.98
T50138,C10908,P1264,2025-01-07,19,0.05,Pending,Direct,26248.5,1312.43,24936.07,14926.59,10009.48
T50139,C10925,P1126,2026-01-02,3,0.0,Paid,Online,5958.15,0.0,5958.15,692.1,5266.05
T50140,C10496,P1107,2026-01-20,24,0.15,Paid,Direct,9526.08,1428.91,8097.17,8283.6,-186.43
T50141,C10298,P1156,2025-03-11,6,0.1,Pending,Online,3384.36,338.44,3045.92,1840.14,1205.78
T50142,C10043,P1080,2025-01-14,20,0.05,Paid,Online,35062.2,1753.11,33309.09,18310.8,14998.29
T50143,C10840,P1280,2026-01-15,24,0.02,Pending,Direct,10670.88,213.42,10457.46,6853.44,3604.02
T50144,C10872,P1283,2025-08-19,26,0.02,Pending,Direct,30938.7,618.77,30319.93,24912.42,5407.51
T50145,C10536,P1145,2025-08-31,9,0.02,Paid,Direct,11450.34,229.01,11221.33,9956.79,1264.54
T50146,C10070,P1277,2025-06-02,3,0.1,Refunded,Direct,5923.62,592.36,5331.26,2624.19,2707.07
T50147,C10822,P1008,2026-02-21,22,0.02,Failed,Direct,32204.04,644.08,31559.96,9544.48,22015.48
T50148,C10298,P1054,2026-03-08,14,0.0,Paid,Direct,11874.94,0.0,11874.94,2780.54,9094.4
T50149,C10548,P1099,2025-01-31,28,0.0,Paid,Partner,60332.44,0.0,60332.44,23587.2,36745.24
T50150,C10659,P1135,2025-02-21,6,0.0,Paid,Direct,4280.34,0.0,4280.34,3691.32,589.02
T50151,C10145,P1081,2025-11-18,17,0.0,Pending,Partner,32757.98,0.0,32757.98,16907.52,15850.46
T50152,C10062,P1179,2025-12-16,4,0.02,Failed,Direct,2922.64,58.45,2864.19,2407.6,456.59
T50153,C10079,P1277,2025-03-26,15,0.15,Pending,Direct,29618.1,4442.71,25175.39,13120.95,12054.44
T50154,C10959,P1159,2025-04-02,1,0.0,Paid,Direct,1450.81,0.0,1450.81,227.96,1222.85
T50155,C10957,P1157,2026-01-31,22,0.0,Paid,Direct,21711.8,0.0,21711.8,18879.74,2832.06
T50156,C10426,P1020,2025-09-21,18,0.0,Paid,Partner,19240.2,0.0,19240.2,5054.04,14186.16
T50157,C10425,P1098,2025-03-11,3,0.02,Paid,Direct,3309.6,66.19,3243.41,2226.24,1017.17
T50158,C10406,P1282,2025-12-20,15,0.05,Paid,Partner,10239.45,511.97,9727.48,8903.85,823.63
T50159,C10350,P1283,2025-02-12,13,0.02,Paid,Partner,15469.35,309.39,15159.96,12456.21,2703.75
T50160,C10543,P1036,2025-05-14,20,0.2,Paid,Direct,16809.6,3361.92,13447.68,14617.0,-1169.32
T50161,C10356,P1006,2026-02-18,15,0.2,Paid,Online,23941.2,4788.24,19152.96,16209.9,2943.06
T50162,C10616,P1290,2025-05-09,14,0.1,Paid,,27852.58,2785.26,25067.32,12092.5,12974.82
T50163,C10378,P1060,2025-02-06,25,0.1,Paid,Direct,36080.25,3608.02,32472.23,24522.0,7950.23
T50164,C10629,P1201,2026-07-11,16,0.02,Paid,Online,20763.68,415.27,20348.41,18055.36,2293.05
T50165,C10944,P1289,2025-05-11,24,0.05,Paid,Direct,20075.76,1003.79,19071.97,17457.12,1614.85
T50166,C10205,P1275,2025-10-26,26,0.02,Failed,Partner,43266.34,865.33,42401.01,3313.18,39087.83
T50167,C10062,P1192,2026-04-24,25,0.1,Paid,Direct,23913.75,2391.38,21522.37,20794.5,727.87
T50168,C10526,P1131,2026-07-29,28,0.0,Paid,Partner,53182.08,0.0,53182.08,14316.4,38865.68
T50169,C10119,P1270,2026-04-15,21,0.0,Paid,Partner,21133.35,0.0,21133.35,18376.89,2756.46
T50170,C10231,P1243,2025-07-16,17,0.0,Paid,Online,6405.43,0.0,6405.43,5133.83,1271.6
T50171,C10789,P1293,2026-05-11,16,0.05,Paid,Online,22794.72,1139.74,21654.98,3940.0,17714.98
T50172,C10417,P1179,2025-01-08,6,0.05,Paid,Direct,4383.96,219.2,4164.76,3611.4,553.36
T50173,C10549,P1329,2025-07-09,25,0.0,Paid,Partner,19053.0,0.0,19053.0,16567.75,2485.25
T50174,C10776,P1269,2025-04-26,21,0.02,Paid,Direct,9255.54,185.11,9070.43,8048.25,1022.18
T50175,C10128,P1022,2025-11-03,26,0.02,Paid,Direct,31679.44,633.59,31045.85,27547.26,3498.59
T50176,C10478,P1102,2026-06-02,21,0.1,Paid,Direct,15578.43,1557.84,14020.59,13546.47,474.12
T50177,C10034,P1279,2026-03-25,14,0.0,Paid,Online,5716.9,0.0,5716.9,2558.22,3158.68
T50178,C10499,P1040,2026-08-03,9,0.0,Paid,Partner,13715.28,0.0,13715.28,8168.94,5546.34
T50179,C10224,P1248,2025-03-21,29,0.05,Paid,Direct,54848.86,2742.44,52106.42,3997.94,48108.48
T50180,C10911,P1119,2026-03-13,22,0.05,Paid,Online,31347.58,1567.38,29780.2,22545.6,7234.6
T50181,C10260,P1072,2026-02-25,26,0.1,Paid,Partner,37679.98,3768.0,33911.98,14094.08,19817.9
T50182,C10200,P1188,2025-09-22,17,0.05,Paid,Direct,34004.08,1700.2,32303.88,3029.91,29273.97
T50183,C10014,P1326,2025-02-26,15,0.15,Paid,Direct,18505.35,2775.8,15729.55,16091.55,-362.0
T50184,C10133,P1314,2025-03-02,1,0.0,Paid,Partner,1204.9,0.0,1204.9,713.66,491.24
T50185,C10216,P1141,2026-06-14,3,0.02,Paid,Partner,5415.69,108.31,5307.38,1515.0,3792.38
T50186,C10228,P1001,2025-06-21,21,0.2,Paid,Direct,44410.38,8882.08,35528.3,11913.51,23614.79
T50187,C10738,P1310,2026-01-05,7,0.0,Paid,Direct,9185.54,0.0,9185.54,3840.27,5345.27
T50188,C10887,P1314,2026-07-03,3,0.1,Paid,Direct,3614.7,361.47,3253.23,2140.98,1112.25
T50189,C10855,P1211,2025-10-14,23,0.0,Paid,Direct,23378.81,0.0,23378.81,20329.47,3049.34
T50190,C10956,P1219,2025-05-02,18,0.02,Paid,Direct,21451.32,429.03,21022.29,1688.04,19334.25
T50191,C10898,P1184,2025-10-09,4,0.0,Paid,Direct,4505.32,0.0,4505.32,3006.16,1499.16
T50192,C10455,P1004,2025-05-14,15,0.05,Failed,Direct,15843.15,792.16,15050.99,13776.6,1274.39
T50193,C10389,P1055,2025-04-16,14,0.1,Paid,,16415.98,1641.6,14774.38,3320.52,11453.86
T50194,C10649,P1050,2026-04-16,1,0.0,Paid,Direct,1283.16,0.0,1283.16,1115.79,167.37
T50195,C10319,P1320,2025-07-20,18,0.0,Paid,Direct,35528.4,0.0,35528.4,12510.72,23017.68
T50196,C10603,P1017,2026-02-02,12,0.0,Paid,Direct,22441.08,0.0,22441.08,2609.88,19831.2
T50197,C10999,P1194,2026-02-26,26,0.0,Paid,Online,54820.22,0.0,54820.22,28240.42,26579.8
T50198,C10198,P1126,2025-11-15,4,0.02,Failed,Direct,7944.2,158.88,7785.32,922.8,6862.52
T50199,C10769,P1002,2025-11-10,25,0.2,Paid,Direct,54767.5,10953.5,43814.0,29786.5,14027.5
T50200,C10935,P1321,2025-04-15,1,0.0,Paid,Direct,959.76,0.0,959.76,563.19,396.57
T50201,C10537,P1006,2025-11-03,23,0.02,Paid,Partner,36709.84,734.2,35975.64,24855.18,11120.46
T50202,C10356,P1299,2026-03-12,23,0.02,Failed,Direct,42878.9,857.58,42021.32,9003.12,33018.2
T50203,C10254,P1272,2025-04-24,12,0.0,Refunded,Direct,10556.04,0.0,10556.04,9179.16,1376.88
T50204,C10167,P1277,2025-05-15,9,0.0,Pending,Online,17770.86,0.0,17770.86,7872.57,9898.29
T50205,C10321,P1056,2026-02-05,5,0.05,Paid,Partner,6196.95,309.85,5887.1,2747.05,3140.05
T50206,C10746,P1308,2026-07-24,10,0.05,Paid,Direct,15391.2,769.56,14621.64,4350.9,10270.74
T50207,C10515,P1209,2025-08-16,20,0.1,Paid,Direct,11535.0,1153.5,10381.5,10030.4,351.1
T50208,C10221,P1140,2026-04-26,22,0.02,Paid,Online,35665.52,713.31,34952.21,9829.6,25122.61
T50209,C10542,P1238,2025-04-16,6,0.05,Paid,Online,7484.28,374.21,7110.07,6508.08,601.99
T50210,C10809,P1119,2025-11-27,1,0.15,Failed,Partner,1424.89,213.73,1211.16,1024.8,186.36
T50211,C10013,P1097,2026-07-02,17,0.1,Paid,Partner,36896.12,3689.61,33206.51,2376.43,30830.08
T50212,C10020,P1100,2025-09-14,17,0.15,Paid,Online,16893.41,2534.01,14359.4,8854.79,5504.61
T50213,C10959,P1199,2025-10-21,29,0.0,Paid,Online,10473.64,0.0,10473.64,7439.37,3034.27
T50214,C10748,P1210,2025-03-31,23,0.2,Paid,Direct,36369.67,7273.93,29095.74,27255.69,1840.05
T50215,C10575,P1084,2025-11-03,16,0.1,Paid,Online,16834.88,1683.49,15151.39,11932.32,3219.07
T50216,C10906,P1085,2025-12-06,18,0.1,Pending,Partner,23109.48,2310.95,20798.53,4386.78,16411.75
T50217,C10589,P1331,2026-07-24,19,0.05,Paid,Partner,31419.54,1570.98,29848.56,8211.42,21637.14
T50218,C10520,P1180,2025-04-27,14,0.2,Paid,Direct,18214.7,3642.94,14571.76,9314.9,5256.86
T50219,C10211,P1301,2025-08-01,20,0.02,Paid,,27424.2,548.48,26875.72,11185.0,15690.72
T50220,C10810,P1115,2026-01-11,6,0.05,Paid,Partner,9994.98,499.75,9495.23,6080.82,3414.41
T50221,C10764,P1100,2026-07-01,25,0.05,Paid,Partner,24843.25,1242.16,23601.09,13021.75,10579.34
T50222,C10295,P1098,2025-05-18,25,0.05,Paid,Direct,27580.0,1379.0,26201.0,18552.0,7649.0
T50223,C10737,P1185,2026-02-08,13,0.1,Paid,Partner,28458.82,2845.88,25612.94,14598.74,11014.2
T50224,C10727,P1272,2026-05-26,14,0.0,Paid,Direct,12315.38,0.0,12315.38,10709.02,1606.36
T50225,C10095,P1175,2026-01-03,15,0.0,Failed,Direct,13284.45,0.0,13284.45,11551.65,1732.8
T50226,C10160,P1103,2025-09-05,24,0.02,Paid,Partner,30928.8,618.58,30310.22,25440.24,4869.98
T50227,C10594,P1336,2025-05-16,6,0.05,Paid,Partner,9892.98,494.65,9398.33,6138.18,3260.15
T50228,C10623,P1200,2025-06-17,10,0.05,Failed,Direct,2823.5,141.18,2682.32,2455.2,227.12
T50229,C10658,P1137,2025-01-31,18,0.1,Paid,Direct,9622.26,962.23,8660.03,6128.64,2531.39
T50230,C10373,P1003,2025-03-30,21,0.1,Pending,Direct,36389.22,3638.92,32750.3,22652.28,10098.02
T50231,C10835,P1196,2025-09-11,9,0.05,Failed,Partner,9338.31,466.92,8871.39,3447.0,5424.39
T50232,C10445,P1217,2025-03-23,4,0.0,Pending,Online,7674.68,0.0,7674.68,2955.4,4719.28
T50233,C10206,P1325,2025-01-06,15,0.05,Paid,Partner,15613.2,780.66,14832.54,13576.65,1255.89
T50234,C10115,P1080,2026-02-06,19,0.15,Paid,Partner,33309.09,4996.36,28312.73,17395.26,10917.47
T50235,C10877,P1056,2025-02-11,23,0.05,Paid,Direct,28505.97,1425.3,27080.67,12636.43,14444.24
T50236,C10707,P1349,2025-03-23,1,0.15,Paid,Direct,1624.59,243.69,1380.9,214.03,1166.87
T50237,C10461,P1192,2025-12-12,1,0.2,Refunded,Online,956.55,191.31,765.24,831.78,-66.54
T50238,C10209,P1009,2026-06-19,12,0.02,Paid,Direct,13036.2,260.72,12775.48,11335.8,1439.68
T50239,C10096,P1036,2026-02-25,17,0.05,Paid,Direct,14288.16,714.41,13573.75,12424.45,1149.3
T50240,C10152,P1166,2025-01-19,1,0.02,Paid,Direct,1988.84,39.78,1949.06,1153.95,795.11
T50241,C10105,P1216,2025-04-08,6,0.02,Paid,Partner,2278.44,45.57,2232.87,1299.3,933.57
T50242,C10529,P1085,2026-03-06,13,0.0,Paid,Direct,16690.18,0.0,16690.18,3168.23,13521.95
